N_Validacion,Brier,BrierBase,MejoraBrier,LogLoss,Exactitud,ExactitudBase,ECE,Modelo,Target,Tipo,SuperaBase,EstadoValidacion,CalidadModelo,MAE,MAEBase,MejoraMAE,MediaReal,MediaPredicha
278,0.6271303854093092,0.6519331297551887,0.03804492088811824,1.0632932548671825,0.4352517985611511,0.4316546762589928,0.10539394416267434,RESULTADO_1X2,ResultClass,multiclass,True,SUPERA BASE OOS,0.4929511640454056,,,,,
278,0.23275773248329623,0.23031934164898293,-0.010586999844891512,0.6608126266714158,0.6402877697841727,0.6402877697841727,0.026733957981902402,GOLES_1T_U15,Y_H1_UNDER15,binary,False,NO SUPERA BASE OOS,0.42,,,,,
278,0.23650677383218352,0.2341493711505616,-0.010067943680728745,0.6653075290836176,0.6223021582733813,0.6258992805755396,0.06553302323398454,TARJETAS_O45,Y_CARDS_OVER45,binary,False,NO SUPERA BASE OOS,0.42,,,,,
278,0.15469832789460597,0.16510532581129342,0.06303247860448846,0.47975147107660665,0.7877697841726619,0.7913669064748201,0.037274704890516146,LOCAL_MARCA,Y_HOME_SCORE,binary,True,SUPERA BASE OOS,0.5959336752309101,,,,,
278,0.20712894941479298,0.2108586512085296,0.017688161108685558,0.600125656366223,0.6762589928057554,0.697841726618705,0.04628687886459538,VISITANTE_MARCA,Y_AWAY_SCORE,binary,True,SUPERA BASE OOS,0.5465763965905825,,,,,
278,,,,,,,,GOLES_ESPERADOS_LOCAL,HomeGoals,count,True,SUPERA BASE OOS,0.5441503979148951,0.9313761654112934,1.0162126917610514,0.08348304153015457,1.5431654676258992,1.4740553106958407
278,,,,,,,,GOLES_ESPERADOS_VISITANTE,AwayGoals,count,True,SUPERA BASE OOS,0.49870169794165475,0.8799768755556563,0.9255417661797243,0.04923050724349491,1.2553956834532374,1.2426985011482756
278,,,,,,,,GOLES_ESPERADOS_1T,H1Goals,count,True,SUPERA BASE OOS,0.50140549026757,0.8608826067322531,0.8842236724068179,0.026397241334911763,1.2266187050359711,1.1935231833968578
278,,,,,,,,TARJETAS_ESPERADAS,CardsTotal,count,True,SUPERA BASE OOS,0.6013009655117638,1.8213948697843885,1.8496391151137765,0.015270138427868774,4.068345323741007,4.414363786475789
