Mercado,N,Aciertos,TasaAcierto,ExactitudBaseMayoritaria,ProbabilidadMediaSeleccion,CorteEntrenamiento,Semilla
Resultado 1X2,100,43,0.43,0.35,0.49706064947789713,2026-05-03,20260916
Goles 1T U/O 1.5,100,63,0.63,0.63,0.669459847125141,2026-05-03,20260916
Tarjetas U/O 4.5,100,54,0.54,0.54,0.5844507432448981,2026-05-03,20260916
Gol local 0.5,100,77,0.77,0.79,0.7713571829754348,2026-05-03,20260916
Gol visitante 0.5,100,70,0.7,0.72,0.7342864531466128,2026-05-03,20260916
